Product-ID,Base-Name,Price,Price Percentage Change 24h,Volume 24h,Base Currency ID,Quote Currency ID
GLM-USD,Golem,0.2605,-1.32575757575758,92897.1,GLM,USD
GLM-USDC,Golem,0.2605,-1.32575757575758,92897.1,GLM,USDC
XCN-USDC,Onyxcoin,0.0182,-1.3550135501355,255541386.1,XCN,USDC
XCN-USD,Onyxcoin,0.0182,-1.3550135501355,255541386.1,XCN,USD
BAT-USDC,Basic Attention Token,0.14202,-1.40238822549292,859681.3,BAT,USDC
BAT-USD,Basic Attention Token,0.14202,-1.40238822549292,859681.3,BAT,USD
TIA-USDC,Celestia,2.592,-1.40737923164701,1457408.99,TIA,USDC
TIA-USD,Celestia,2.592,-1.40737923164701,1457408.99,TIA,USD
AUCTION-USD,Bounce Token,11.79,-1.42140468227425,15850.335,AUCTION,USD
AUCTION-USDC,Bounce Token,11.79,-1.42140468227425,15850.335,AUCTION,USDC
SEAM-USDC,Seamless,0.4837,-1.44661776691117,1618080.9,SEAM,USDC
SEAM-USD,Seamless,0.4837,-1.44661776691117,1618080.9,SEAM,USD
TIME-USD,Chrono.tech,12.76,-1.46718146718147,1394.868,TIME,USD
TIME-USDC,Chrono.tech,12.76,-1.46718146718147,1394.868,TIME,USDC
SYN-USD,Synapse,0.198,-1.49253731343284,6244223.45,SYN,USD
SYN-USDC,Synapse,0.198,-1.49253731343284,6244223.45,SYN,USDC
PYTH-USDC,Pyth Network,0.1365,-1.51515151515152,9069168.2,PYTH,USDC
PYTH-USD,Pyth Network,0.1365,-1.51515151515152,9069168.2,PYTH,USD
BONK-USDC,Bonk,0.00002001,-1.5255905511811,572339243411.0,BONK,USDC
BONK-USD,Bonk,0.00002001,-1.5255905511811,572339243411.0,BONK,USD
ZORA-USDC,Zora,0.01024,-1.53846153846154,66771023.0,ZORA,USDC
ZORA-USD,Zora,0.01024,-1.53846153846154,66771023.0,ZORA,USD
CHZ-USDT,Chiliz,0.0439,-1.5695067264574,132242.2,CHZ,USDT
SWFTC-USD,SwftCoin,0.013961,-1.64846777034167,60381169.0,SWFTC,USD
SWFTC-USDC,SwftCoin,0.013961,-1.64846777034167,60381169.0,SWFTC,USDC
G-USD,Gravity,0.01471,-1.67112299465241,2119822.0,G,USD
G-USDC,Gravity,0.01471,-1.67112299465241,2119822.0,G,USDC
RNDR-USDT,Render (ERC-20),4.4102,-1.70284848214684,148769.09,RNDR,USDT
IP-USDC,Story,4.32,-1.70648464163823,160768.3,IP,USDC
IP-USD,Story,4.32,-1.70648464163823,160768.3,IP,USD
ABT-USD,Arcblock,0.9272,-1.73802458668928,206170.1,ABT,USD
ABT-USDC,Arcblock,0.9272,-1.73802458668928,206170.1,ABT,USDC
SXT-USDC,Space and Time,0.1184,-1.74273858921162,19976472.1,SXT,USDC
SXT-USD,Space and Time,0.1184,-1.74273858921162,19976472.1,SXT,USD
MATH-USD,MATH,0.1276,-1.77059276366436,931355.8,MATH,USD
MATH-USDC,MATH,0.1276,-1.77059276366436,931355.8,MATH,USDC
DEGEN-USD,Degen,0.005442,-1.78668110449377,682444478.0,DEGEN,USD
DEGEN-USDC,Degen,0.005442,-1.78668110449377,682444478.0,DEGEN,USDC
SWELL-USD,SWELL,0.01085,-1.80995475113122,98215256.0,SWELL,USD
SWELL-USDC,SWELL,0.01085,-1.80995475113122,98215256.0,SWELL,USDC
FLR-USD,Flare,0.01837,-1.86965811965812,40706365.0,FLR,USD
FLR-USDC,Flare,0.01837,-1.86965811965812,40706365.0,FLR,USDC
RENDER-USDC,Render,4.415,-1.88888888888889,3380168.19,RENDER,USDC
RENDER-USD,Render,4.415,-1.88888888888889,3380168.19,RENDER,USD
VTHO-USD,VeThor Token,0.002426,-1.900525677315,199792754.0,VTHO,USD
VTHO-USDC,VeThor Token,0.002426,-1.900525677315,199792754.0,VTHO,USDC
RNDR-USDC,Render (ERC-20),4.4035,-1.90247053843926,4806821.6,RNDR,USDC
RNDR-USD,Render (ERC-20),4.4035,-1.90247053843926,4806821.6,RNDR,USD
LRC-USD,Loopring,0.0977,-1.90763052208835,14241498.454362,LRC,USD
LRC-USDC,Loopring,0.0977,-1.90763052208835,14241498.454362,LRC,USDC
ARKM-USDC,Arkham,0.666,-1.91458026509573,325656.78,ARKM,USDC
ARKM-USD,Arkham,0.666,-1.91458026509573,325656.78,ARKM,USD
CLANKER-USDC,tokenbot,31.98,-1.93192272309108,9338.5264,CLANKER,USDC
CLANKER-USD,tokenbot,31.98,-1.93192272309108,9338.5264,CLANKER,USD
PROMPT-USDC,Wayfinder,0.21468,-1.95469492144684,4677282.2,PROMPT,USDC
PROMPT-USD,Wayfinder,0.21468,-1.95469492144684,4677282.2,PROMPT,USD
PENGU-USD,Pudgy Penguins,0.0124,-1.97628458498024,253014033.0,PENGU,USD
PENGU-USDC,Pudgy Penguins,0.0124,-1.97628458498024,253014033.0,PENGU,USDC
ORCA-USD,Orca,2.9027,-2.0119501738514,720652.74,ORCA,USD
ORCA-USDC,Orca,2.9027,-2.0119501738514,720652.74,ORCA,USDC
