Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
LTC-USDC,Litecoin,94.6,-1.21136173767753,LTC,USDC
LTC-USD,Litecoin,94.6,-1.21136173767753,LTC,USD
EDGE-USD,Definitive,0.12025,-1.22391982914408,EDGE,USD
EDGE-USDC,Definitive,0.12025,-1.22391982914408,EDGE,USDC
MDT-USDC,Measurable Data Token,0.02881,-1.23414466918067,MDT,USDC
MDT-USD,Measurable Data Token,0.02881,-1.23414466918067,MDT,USD
BLAST-USD,Blast,0.00315,-1.25391849529781,BLAST,USD
BLAST-USDC,Blast,0.00315,-1.25391849529781,BLAST,USDC
KSM-USDC,Kusama,18.08,-1.25614418350628,KSM,USDC
KSM-USD,Kusama,18.08,-1.25614418350628,KSM,USD
RSR-USDC,Reserve Rights,0.008478,-1.25786163522013,RSR,USDC
RSR-USD,Reserve Rights,0.008478,-1.25786163522013,RSR,USD
DOT-EUR,Polkadot,3.91,-1.26262626262626,DOT,EUR
LTC-EUR,Litecoin,83.03,-1.28403281417192,LTC,EUR
COMP-BTC,Compound,0.000383,-1.28865979381443,COMP,BTC
HNT-USDC,Helium,4.105,-1.29838903582592,HNT,USDC
HNT-USD,Helium,4.105,-1.29838903582592,HNT,USD
AMP-USD,Amp,0.00456,-1.2987012987013,AMP,USD
AMP-USDC,Amp,0.00456,-1.2987012987013,AMP,USDC
IMX-USDC,Immutable,0.6308,-1.2987012987013,IMX,USDC
IMX-USD,Immutable,0.6308,-1.2987012987013,IMX,USD
ATOM-EUR,Cosmos,4.174,-1.30054386379759,ATOM,EUR
SHIB-GBP,SHIBA INU,0.00001058,-1.30597014925373,SHIB,GBP
XLM-USDT,Stellar Lumens,0.284,-1.32036136205698,XLM,USDT
MKR-BTC,Maker,0.01481,-1.33244503664224,MKR,BTC
TNSR-USDC,Tensor,0.148,-1.33333333333333,TNSR,USDC
TNSR-USD,Tensor,0.148,-1.33333333333333,TNSR,USD
JTO-USDC,Jito,1.9398,-1.33767356695997,JTO,USDC
JTO-USD,Jito,1.9398,-1.33767356695997,JTO,USD
ALGO-GBP,Algorand,0.16,-1.35635018495684,ALGO,GBP
IMX-USDT,Immutable,0.6311,-1.35979993748046,IMX,USDT
XRP-USD,XRP,2.3067,-1.36406396989652,XRP,USD
XRP-USDC,XRP,2.3067,-1.36406396989652,XRP,USDC
ICP-USDC,Internet Computer,5.204,-1.36467020470053,ICP,USDC
ICP-USD,Internet Computer,5.204,-1.36467020470053,ICP,USD
LTC-GBP,Litecoin,69.74,-1.37180031112997,LTC,GBP
FIL-USDC,Filecoin,2.784,-1.38150903294368,FIL,USDC
FIL-USD,Filecoin,2.784,-1.38150903294368,FIL,USD
DASH-BTC,Dash,0.000214,-1.38248847926267,DASH,BTC
SNX-BTC,Synthetix Network Token,0.0000071,-1.38888888888889,SNX,BTC
GMT-USDC,STEPN,0.0562,-1.40350877192982,GMT,USDC
GMT-USD,STEPN,0.0562,-1.40350877192982,GMT,USD
STORJ-USD,Storj,0.288,-1.40362889421431,STORJ,USD
STORJ-USDC,Storj,0.288,-1.40362889421431,STORJ,USDC
LOKA-USD,League of Kingdoms Arena,0.0694,-1.42045454545455,LOKA,USD
LOKA-USDC,League of Kingdoms Arena,0.0694,-1.42045454545455,LOKA,USDC
UMA-USD,UMA,1.178,-1.42259414225941,UMA,USD
UMA-USDC,UMA,1.178,-1.42259414225941,UMA,USDC
CRV-BTC,Curve DAO Token,0.0000069,-1.42857142857143,CRV,BTC
GLM-USD,Golem,0.2615,-1.43234074632492,GLM,USD
GLM-USDC,Golem,0.2615,-1.43234074632492,GLM,USDC
BCH-USDC,Bitcoin Cash,414.72,-1.44018251818052,BCH,USDC
BCH-USD,Bitcoin Cash,414.72,-1.44018251818052,BCH,USD
ICP-USDT,Internet Computer,5.197,-1.44130476009862,ICP,USDT
ICP-BTC,Internet Computer,0.0000478,-1.44329896907216,ICP,BTC
CGLD-GBP,Celo,0.272,-1.44927536231884,CGLD,GBP
JASMY-USDC,Jasmy,0.01727,-1.48317170564746,JASMY,USDC
JASMY-USD,Jasmy,0.01727,-1.48317170564746,JASMY,USD
ALGO-BTC,Algorand,0.00000199,-1.48514851485149,ALGO,BTC
NMR-USD,Numeraire,8.62,-1.48571428571429,NMR,USD
NMR-USDC,Numeraire,8.62,-1.48571428571429,NMR,USDC
HBAR-USDT,Hedera,0.18509,-1.49547631718999,HBAR,USDT
POWR-USDC,Powerledger,0.1774,-1.49916712937257,POWR,USDC
POWR-USD,Powerledger,0.1774,-1.49916712937257,POWR,USD
XRP-USDT,XRP,2.3007,-1.52377691221162,XRP,USDT
ACX-USD,Across Protocol,0.2245,-1.53508771929825,ACX,USD
ACX-USDC,Across Protocol,0.2245,-1.53508771929825,ACX,USDC
DOT-USDT,Polkadot,4.45,-1.54867256637168,DOT,USDT
XRP-EUR,XRP,2.0246,-1.55117918794068,XRP,EUR
BCH-BTC,Bitcoin Cash,0.003795,-1.55642023346304,BCH,BTC
HBAR-USDC,Hedera,0.18516,-1.56299840510367,HBAR,USDC
HBAR-USD,Hedera,0.18516,-1.56299840510367,HBAR,USD
