start,low,high,open,close,volume,signal,fibonacciretracement_signal
2025-05-31 10:30:00,3.1182,3.1556,3.1416,3.1466,160783.0,0,0
2025-05-31 11:00:00,3.1257,3.1478,3.1471,3.1307,216104.3,0,0
2025-05-31 11:30:00,3.1224,3.1396,3.13,3.1346,139084.1,0,0
2025-05-31 12:00:00,3.1296,3.1705,3.1336,3.1533,357001.2,0,0
2025-05-31 12:30:00,3.1507,3.1849,3.1533,3.1847,311259.2,0,0
2025-05-31 13:00:00,3.1799,3.217,3.1839,3.1862,517843.7,0,0
2025-05-31 13:30:00,3.1698,3.2018,3.1862,3.1845,159881.5,0,0
2025-05-31 14:00:00,3.1808,3.2487,3.1845,3.2435,1058694.2,1,1
2025-05-31 14:30:00,3.2359,3.2619,3.244,3.2599,619640.0,0,0
2025-05-31 15:00:00,3.2442,3.2824,3.2593,3.277,472654.6,0,0
2025-05-31 15:30:00,3.2505,3.3153,3.2774,3.2568,1187931.1,0,0
2025-05-31 16:00:00,3.242,3.3098,3.2562,3.2962,647833.1,0,0
2025-05-31 16:30:00,3.2736,3.3151,3.2948,3.2812,902052.9,0,0
2025-05-31 17:00:00,3.2652,3.2832,3.2822,3.2745,168176.5,0,0
2025-05-31 17:30:00,3.2302,3.296,3.276,3.2367,958534.4,0,0
2025-05-31 18:00:00,3.233,3.2749,3.2354,3.252,243421.3,0,0
2025-05-31 18:30:00,3.2394,3.2575,3.2519,3.2552,239236.3,0,0
2025-05-31 19:00:00,3.2549,3.2791,3.2549,3.2672,89635.3,0,0
2025-05-31 19:30:00,3.2542,3.2691,3.2665,3.2576,72211.6,0,0
2025-05-31 20:00:00,3.2469,3.2604,3.2571,3.2582,100531.2,0,0
2025-05-31 20:30:00,3.2522,3.2845,3.2575,3.276,178501.8,0,0
2025-05-31 21:00:00,3.2644,3.2936,3.2765,3.269,280381.3,0,0
2025-05-31 21:30:00,3.2691,3.2918,3.2705,3.2805,121208.8,0,0
2025-05-31 22:00:00,3.2628,3.2863,3.281,3.2688,113022.9,0,0
2025-05-31 22:30:00,3.2562,3.2727,3.27,3.259,54424.9,0,0
2025-05-31 23:00:00,3.2485,3.2866,3.2585,3.258,288507.4,0,0
2025-05-31 23:30:00,3.245,3.259,3.2585,3.2479,87617.8,0,0
2025-06-01 00:00:00,3.2195,3.2494,3.2477,3.2254,321535.6,0,0
2025-06-01 00:30:00,3.2233,3.248,3.2246,3.246,65814.8,0,0
2025-06-01 01:00:00,3.236,3.2664,3.2455,3.2412,136533.4,0,0
2025-06-01 01:30:00,3.2108,3.244,3.2415,3.2234,166791.3,0,0
2025-06-01 02:00:00,3.1977,3.2328,3.222,3.2289,222796.3,0,0
2025-06-01 02:30:00,3.2288,3.257,3.2288,3.243,407303.2,0,0
2025-06-01 03:00:00,3.2211,3.247,3.2417,3.2371,214523.5,0,0
2025-06-01 03:30:00,3.237,3.2721,3.237,3.2679,266616.8,0,0
2025-06-01 04:00:00,3.254,3.278,3.268,3.2747,76331.6,0,0
2025-06-01 04:30:00,3.2739,3.2925,3.2739,3.2784,131317.1,0,0
2025-06-01 05:00:00,3.2765,3.2943,3.2789,3.2863,74485.3,0,0
2025-06-01 05:30:00,3.2644,3.2886,3.2856,3.2774,107291.2,0,0
2025-06-01 06:00:00,3.257,3.2783,3.2766,3.273,124739.4,0,0
2025-06-01 06:30:00,3.2512,3.2857,3.2726,3.2541,132154.5,0,0
2025-06-01 07:00:00,3.24,3.2619,3.2535,3.259,132906.6,0,0
2025-06-01 07:30:00,3.2458,3.2596,3.2596,3.2535,38301.6,0,0
2025-06-01 08:00:00,3.2435,3.2619,3.2537,3.25,115367.0,0,0
2025-06-01 08:30:00,3.2445,3.267,3.2496,3.267,62302.6,0,0
2025-06-01 09:00:00,3.2162,3.2761,3.2675,3.2211,456856.8,0,0
2025-06-01 09:30:00,3.1865,3.2215,3.2215,3.21,384399.4,0,0
2025-06-01 10:00:00,3.2016,3.235,3.2103,3.231,527288.2,0,0
2025-06-01 10:30:00,3.2135,3.238,3.231,3.2348,246246.3,0,0
2025-06-01 11:00:00,3.2262,3.2616,3.2346,3.2569,153219.6,0,0
2025-06-01 11:30:00,3.2475,3.2681,3.2565,3.258,121722.2,0,0
2025-06-01 12:00:00,3.2466,3.268,3.2585,3.2545,137609.6,0,0
2025-06-01 12:30:00,3.2254,3.2595,3.2548,3.2439,536966.5,0,0
2025-06-01 13:00:00,3.242,3.2807,3.2435,3.27,152234.5,0,0
2025-06-01 13:30:00,3.2695,3.2923,3.2695,3.2746,291849.0,0,0
2025-06-01 14:00:00,3.2754,3.311,3.2754,3.3071,477151.4,0,0
2025-06-01 14:30:00,3.29,3.3187,3.3075,3.2922,419113.2,0,0
2025-06-01 15:00:00,3.2767,3.3017,3.2927,3.2985,248665.1,0,0
2025-06-01 15:30:00,3.2833,3.3039,3.2995,3.2908,168757.2,0,0
2025-06-01 16:00:00,3.284,3.3433,3.2912,3.301,789526.0,0,0
2025-06-01 16:30:00,3.2945,3.3246,3.3012,3.3048,401402.6,0,0
2025-06-01 17:00:00,3.2915,3.3077,3.305,3.3048,138410.6,0,0
2025-06-01 17:30:00,3.294,3.314,3.3042,3.2974,190582.2,0,0
2025-06-01 18:00:00,3.2628,3.2992,3.2973,3.2653,211854.8,0,0
2025-06-01 18:30:00,3.25,3.2821,3.2649,3.2787,190438.1,0,0
2025-06-01 19:00:00,3.2675,3.2884,3.2795,3.2832,336178.5,0,0
2025-06-01 19:30:00,3.2785,3.2915,3.284,3.2914,126116.1,0,0
2025-06-01 20:00:00,3.272,3.2918,3.2917,3.2825,86299.6,0,0
2025-06-01 20:30:00,3.2729,3.3022,3.2819,3.2762,610923.1,0,0
2025-06-01 21:00:00,3.2738,3.295,3.2767,3.2881,142520.9,0,0
2025-06-01 21:30:00,3.2882,3.315,3.2882,3.3065,315060.6,0,0
2025-06-01 22:00:00,3.306,3.3395,3.3062,3.3237,645502.9,1,1
2025-06-01 22:30:00,3.313,3.3304,3.3244,3.3262,168592.5,0,0
2025-06-01 23:00:00,3.3259,3.3634,3.3259,3.3461,303074.8,0,0
2025-06-01 23:30:00,3.3321,3.368,3.346,3.3454,416072.9,0,0
2025-06-02 00:00:00,3.3245,3.3515,3.3445,3.3245,190243.5,0,0
2025-06-02 00:30:00,3.321,3.34,3.3265,3.3287,153016.4,0,0
