start,low,high,open,close,volume,fibonacciretracement_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-01 22:00:00,105471.38,105809.45,105547.53,105565.11,390.47403942,0,104995.32357413125,104745.54545675589,249.77811737536103,128.79278813839073,1,0,,,,,,,,,,1
2025-06-01 23:00:00,105512.23,105937.46,105565.11,105697.94,162.16121596,0,105103.41840888029,104816.0932006999,287.3252081803803,160.49927214678866,1,1,,,,,,,,,,1
2025-06-02 00:00:00,105449.4,105788.12,105697.93,105475.65,220.86077968,0,105160.68480751409,104864.94925990733,295.7355476067605,187.54652723878303,1,0,,,,,,,,,,1
2025-06-02 01:00:00,105395.0,105698.68,105475.64,105444.35,314.04255509,0,105204.32560635808,104907.86783324752,296.4577731105528,209.328776413137,1,0,,,,,,,,,,1
2025-06-02 02:00:00,105059.17,105483.18,105444.33,105076.0,152.94745342,0,105184.58320537991,104920.32206782178,264.26113755813276,220.31524864213617,1,0,,,,,,,,,,1
2025-06-02 03:00:00,104603.49,105100.12,105076.0,104885.77,163.57626569,0,105138.61194301376,104917.76265539053,220.84928762323398,220.42205643835575,1,0,,,,,,,,,,1
2025-06-02 04:00:00,104750.0,105049.58,104885.77,104825.12,60.77827519,0,105090.38241331934,104910.9002364727,179.4821768466354,212.2340805200117,-1,-1,,,,,,,,,,-1
2025-06-02 05:00:00,104667.29,104975.97,104825.11,104890.32,48.73799863,0,105059.60358050099,104909.37577451176,150.2278059892269,199.83282561385477,-1,0,,,,,,,,,,-1
2025-06-02 06:00:00,104789.81,105317.86,104892.89,105220.11,63.62891533,0,105084.29687580853,104932.39312454793,151.90375126060098,190.24701074320402,-1,0,,,,,,,,,,-1
2025-06-02 07:00:00,105218.83,105495.99,105219.29,105446.88,56.9503971,0,105140.07889491491,104970.50326347031,169.57563144460437,186.11273488348408,-1,1,,,,,,,,,,-1
2025-06-02 08:00:00,105296.01,106000.0,105446.83,105392.19,178.28609694,0,105178.86521877415,105001.73931802806,177.12590074609034,184.31536805600535,-1,0,,,,,,,,,,-1
2025-06-02 09:00:00,104525.31,105404.36,105392.2,104629.61,191.78187868,-1,105094.36441588582,104974.17418335931,120.19023252651095,171.49034095010649,-1,0,,,,,,,,,,-1
2025-06-02 10:00:00,104300.0,104710.67,104629.98,104427.97,164.49318992,0,104991.84219805723,104933.71461422158,58.12758383565233,148.81778952721567,-1,0,,,,,,,,,,-1
2025-06-02 11:00:00,103974.2,104547.97,104421.89,104085.64,270.83516061,-1,104852.4264752792,104870.8942724274,-18.467797148201498,115.36067219213224,-1,-1,,,,,,,,,,-1
2025-06-02 12:00:00,103899.76,104328.3,104080.89,104246.37,183.73390481,0,104759.18701754393,104824.63321521055,-65.44619766662072,79.19929822038165,-1,1,,,,,,,,,,-1
2025-06-02 13:00:00,103722.0,104603.19,104246.38,103862.16,484.20212704,0,104621.1828609987,104753.33890297273,-132.15604197402718,36.928230181499885,-1,-1,,,,,,,,,,-1
2025-06-02 14:00:00,103685.23,104740.14,103847.03,104212.2,386.79533012,0,104558.26242084506,104713.25453978956,-154.99211894450127,-1.455839643700345,-1,0,,,,,,,,,,-1
