start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,fibonacciretracement_signal,signal
2025-06-07 08:00:00,3.2738,3.2907,3.2855,3.2827,128044.0,0,,,,,,,,0,0
2025-06-07 08:30:00,3.2642,3.2834,3.2821,3.2655,82345.1,0,,3.2655,,,,,,0,0
2025-06-07 09:00:00,3.2641,3.2844,3.2657,3.2805,150409.2,0,3.2805,,,,,,,0,0
2025-06-07 09:30:00,3.2682,3.2827,3.2807,3.274,100989.8,0,,,,,,,,0,0
2025-06-07 10:00:00,3.2652,3.2818,3.2743,3.2802,149961.1,0,,,,,,,,0,0
2025-06-07 10:30:00,3.2654,3.2825,3.2794,3.2794,87345.4,0,,,,,,3.2794,,0,0
2025-06-07 11:00:00,3.266,3.28,3.2785,3.2718,150554.7,-1,,,,,,,3.2718,0,-1
2025-06-07 11:30:00,3.2633,3.2742,3.2718,3.2673,205254.6,0,,3.2673,,,,,,0,0
2025-06-07 12:00:00,3.266,3.279,3.2676,3.2771,205776.7,0,,,,,,,,0,0
2025-06-07 12:30:00,3.272,3.287,3.2778,3.2722,171601.8,0,,,,,,,,0,0
2025-06-07 13:00:00,3.2686,3.3,3.2729,3.2996,212156.8,0,3.2996,,,,,,,0,0
2025-06-07 13:30:00,3.2913,3.3144,3.2998,3.2932,361376.4,0,,,,,,,,0,0
2025-06-07 14:00:00,3.2725,3.2939,3.2935,3.2765,208241.1,0,,3.2765,,,,,,0,0
2025-06-07 14:30:00,3.276,3.2938,3.277,3.2784,127265.0,0,,,,,,,,0,0
2025-06-07 15:00:00,3.2693,3.2817,3.2785,3.2709,107171.1,0,,,,,,,,0,0
2025-06-07 15:30:00,3.2469,3.272,3.2715,3.2566,254519.5,0,,,,,,,,0,0
2025-06-07 16:00:00,3.2403,3.2581,3.2567,3.2428,194960.7,0,,,,,,,,0,0
2025-06-07 16:30:00,3.2222,3.243,3.2427,3.2257,689786.5,0,,,,,,,,-1,-1
